178 N1 N4 N11 N14 N17 N20 N23 N24 N25 N26 N27 N31 N34 N37 N40 N43 N46 N49 N52 N53 N54 N61 N64 N67 N70 N73 N76 N79 N80 N81 N82 N83 N86 N87 N88 N91 N94 N97 N100 N103 N106 N109 N112 N113 N114 N115 N116 N117 N118 N119 N120 N121 N122 N123 N126 N127 N128 N129 N130 N131 N132 N135 N136 N137 N140 N141 N145 N146 N149 N152 N155 N158 N161 N164 N167 N170 N173 N176 N179 N182 N185 N188 N191 N194 N197 N200 N203 N206 N209 N210 N217 N218 N225 N226 N233 N234 N241 N242 N245 N248 N251 N254 N257 N264 N265 N272 N273 N280 N281 N288 N289 N292 N293 N299 N302 N307 N308 N315 N316 N323 N324 N331 N332 N335 N338 N341 N348 N351 N358 N361 N366 N369 N372 N373 N374 N386 N389 N400 N411 N422 N435 N446 N457 N468 N479 N490 N503 N514 N523 N534 N545 N549 N552 N556 N559 N562 N566 N571 N574 N577 N580 N583 N588 N591 N592 N595 N596 N597 N598 N599 N603 N607 N610 N613 N616 N619 N625 N631
123 N709 N816 N1066 N1137 N1138 N1139 N1140 N1141 N1142 N1143 N1144 N1145 N1147 N1152 N1153 N1154 N1155 N1972 N2054 N2060 N2061 N2139 N2142 N2309 N2387 N2527 N2584 N2590 N2623 N3357 N3358 N3359 N3360 N3604 N3613 N4272 N4275 N4278 N4279 N4737 N4738 N4739 N4740 N5240 N5388 N6641 N6643 N6646 N6648 N6716 N6877 N6924 N6925 N6926 N6927 N7015 N7363 N7365 N7432 N7449 N7465 N7466 N7467 N7469 N7470 N7471 N7472 N7473 N7474 N7476 N7503 N7504 N7506 N7511 N7515 N7516 N7517 N7518 N7519 N7520 N7521 N7522 N7600 N7601 N7602 N7603 N7604 N7605 N7606 N7607 N7626 N7698 N7699 N7700 N7701 N7702 N7703 N7704 N7705 N7706 N7707 N7735 N7736 N7737 N7738 N7739 N7740 N7741 N7742 N7754 N7755 N7756 N7757 N7758 N7759 N7760 N7761 N8075 N8076 N8123 N8124 N8127 N8128
1372
BUF N1 N3360
BUF N1 N3359
BUF N1 N3358
BUF N1 N3357
BUF N1 N2309
BUF N137 N2139
BUF N141 N2142
BUF N141 N709
BUF N293 N816
BUF N299 N3604
BUF N299 N2527
BUF N549 N2387
BUF N592 N1066
BUF N6926 N6924
BUF N6927 N6925
BUF N4278 N4275
BUF N6646 N6643
BUF N6648 N6641
BUF N1143 N1137
BUF N1143 N1142
BUF N2584 N1141
NAND N341 n1768 n1770
OR N341 N251 n1769
NAND n1770 n1769 n1771
NAND N523 n1771 n1777
NAND N341 N242 n1774
OR N341 n1772 n1773
AND n1774 n1773 n1775
OR N523 n1775 n1776
NAND n1777 n1776 n1778
XOR n1779 n1778 n1780
XOR n1781 n1780 n1782
XOR n1783 n1782 n1823
NAND n2213 n1823 n1784
AND n1785 n1784 n1796
NAND N332 N323 n1786
NAND N332 N307 n1788
AND n1788 n1787 n2287
NAND N332 N299 n1790
AND n1790 n1789 n2286
XOR n2287 n2286 n1963
AND n1793 n1792 n2290
NAND n1414 n1792 n1794
INV N574 n1929
AND N137 N574 n1922
NAND N179 N571 n1799
INV N571 n1921
NAND N176 n1921 n1798
NAND n1799 n1798 n1800
NAND n1922 n1800 n1801
OR N571 n1802 n1803
NOR N574 n1803 n1933
AND N613 N616 n2251
NAND n2251 N64 n1806
INV N613 n1804
AND N616 n1804 n2252
NAND n2252 N14 n1805
AND n1806 n1805 n1809
INV N616 n1807
AND N613 n1807 n1934
NOR N616 N613 n1948
AND N610 N607 n2261
NAND N64 n2261 n1812
INV N610 n1810
AND N607 n1810 n2262
NAND N14 n2262 n1811
AND n1812 n1811 n1815
INV N607 n1813
AND N610 n1813 n1935
NOR N607 N610 n1938
OR N619 N118 n1816
NAND N625 n1816 n1819
OR n1817 n1917 n1818
AND n1819 n1818 n1821
NAND n1821 n1820 N8076
OR N619 N120 n1822
NAND N625 n1822 n1825
OR n1917 n1823 n1824
AND n1825 n1824 n1832
AND n1827 n1826 n1829
XOR n1829 n1828 n1830
NAND N619 n1830 n1831
NAND n1832 n1831 N8075
AND N137 N577 n1860
AND N580 n1860 n2189
NAND n2189 N161 n1836
AND n1834 n1833 n2190
NAND n2190 N191 n1835
AND n1836 n1835 n1849
INV N619 n1837
AND N625 n1837 n2202
NAND n2202 N123 n1841
AND n1346 n1841 n1838
OR n2300 n1917 n1840
NAND n1838 n1840 n1947
AND n1384 n1947 n1843
NAND n2290 N54 n1839
XOR n2286 n2271 n1999
AND n1841 n1840 n1844
AND n1999 n1844 n1842
NAND n2000 n1842 n1949
AND n1843 n1949 n1847
INV n1844 n1996
NOR n1998 n1996 n1846
NOR n1346 n2006 n1997
NOR n2000 n1997 n1845
NAND n1846 n1845 n1951
NAND n1847 n1951 n1848
AND n1849 n1848 n1862
OR n2297 n1917 n1851
NAND n2202 N115 n1850
AND n1851 n1850 n1855
XOR n2274 n2280 n1852
NAND n1345 n1852 n1853
AND n1855 n1854 n1858
AND n1345 n2248 n1856
AND n1858 n1857 N7704
NAND n1860 n1859 n2218
OR N7704 n2218 n1861
NAND n1862 n1861 N7761
INV N598 n2203
NAND N210 n2203 n1864
OR N210 N597 n1863
NAND n1864 n1863 n1865
NAND N457 n1865 n1870
NAND N210 N595 n1867
INV N596 n2207
OR N210 n2207 n1866
AND n1867 n1866 n1868
OR N457 n1868 n1869
AND n1870 n1869 n2292
NAND n2213 n2301 n1874
NAND n2202 N121 n1873
AND n1874 n1873 n1876
AND n1876 n1875 n1878
AND n1878 n1877 n1882
AND n2287 n1345 n1879
NAND n1880 n1406 n1881
AND n1882 n1881 N7700
NAND N218 n2203 n1884
OR N218 N597 n1883
NAND n1884 n1883 n1885
NAND N468 n1885 n1890
NAND N218 N595 n1887
OR N218 n2207 n1886
AND n1887 n1886 n1888
OR N468 n1888 n1889
AND n1890 n1889 n2298
NAND n2202 N116 n1893
AND n1894 n1893 n1896
OR n2306 n1917 n1895
AND n1896 n1895 n1900
NAND n1407 n2000 n1899
AND n1900 n1899 n1904
NAND n1902 n1408 n1903
AND n1904 n1903 N7701
NAND n2202 N113 n1914
NAND N226 n2203 n1906
OR N226 N597 n1905
NAND n1906 n1905 n1907
NAND N422 n1907 n1912
NAND N226 N595 n1909
OR N226 n2207 n1908
AND n1909 n1908 n1910
OR N422 n1910 n1911
AND n1912 n1911 n2291
NAND n2213 n2291 n1913
AND n1914 n1913 n1916
OR n2305 n1917 n1919
NAND n2202 N112 n1918
AND n1919 n1918 n1920
AND n1920 n1262 N7702
AND N137 N571 n1930
AND N574 n1930 n2221
NAND n2221 N161 n1924
AND n1922 n1921 n2222
NAND n2222 N191 n1923
AND n1924 n1923 n1928
AND n1933 n1947 n1925
AND n1925 n1949 n1926
NAND n1926 n1951 n1927
AND n1928 n1927 n1932
NAND n1930 n1929 n2228
OR N7704 n2228 n1931
NAND n1932 n1931 N7757
INV n1933 n2225
INV n1934 n2258
INV n1948 n2255
INV n1935 n2268
INV n1938 n2265
NAND n2261 N106 n1937
NAND n2262 N109 n1936
AND n1937 n1936 n1942
AND n1938 n1947 n1939
AND n1939 n1949 n1940
NAND n1940 n1951 n1941
AND n1942 n1941 n1944
OR N7704 n2268 n1943
NAND n1944 n1943 N7736
NAND n2251 N106 n1946
NAND n2252 N109 n1945
AND n1946 n1945 n1954
AND n1948 n1947 n1950
AND n1950 n1949 n1952
NAND n1952 n1951 n1953
AND n1954 n1953 n1956
OR N7704 n2258 n1955
NAND n1956 n1955 N7735
NAND N556 N386 N2061
XOR n1958 n1957 n1967
NAND N332 N372 n1960
NAND n1960 n1959 n1961
XOR n1963 n1962 n1964
XOR n1965 n1964 n1966
XOR n1967 n1966 N7474
XOR n1969 n1968 n1979
NAND N335 N292 n1971
AND n1971 n1970 n1972
XOR n1975 n1974 n1976
XOR n1977 n1976 n1978
XOR n1979 n1978 N7476
XOR N257 N265 n1981
XOR N234 N273 n1980
XOR n1981 n1980 n1987
XOR N281 N289 n1985
XOR N226 N206 n1983
XOR N218 N210 n1982
XOR n1983 n1982 n1984
XOR n1985 n1984 n1986
XOR n1987 n1986 N6877
XOR N316 N293 n1990
XOR N351 N324 n1988
XOR N369 n1988 n1989
XOR n1990 n1989 n1995
XOR N361 N341 n1993
XOR N308 n1991 n1992
XOR n1993 n1992 n1994
XOR n1995 n1994 N6716
AND N562 N552 N1140
NOR n1997 n1996 n2003
OR n2000 n1998 n2005
AND n1345 n2005 n2001
NAND n2000 n1999 n2004
NAND n2001 n2004 n2002
AND n2003 n2002 N7699
NAND n2005 n2004 n2007
AND n2007 n2006 N7432
XOR n2286 N132 n2014
INV n2014 n2008
XOR N7432 n2008 N7698
NAND N599 N123 n2010
OR n2300 N599 n2009
AND n2010 n2009 n2011
INV N599 n2012
AND N603 n2012 n2013
NAND n2189 N146 n2016
NAND n2190 N149 n2015
AND n2016 n2015 n2033
NAND n2202 N128 n2026
NAND N257 n2203 n2018
OR N257 N597 n2017
NAND n2018 n2017 n2019
NAND N389 n2019 n2024
NAND N257 N595 n2021
OR N257 n2207 n2020
AND n2021 n2020 n2022
OR N389 n2022 n2023
AND n2024 n2023 n2294
NAND n2213 n2294 n2025
AND n2026 n2025 n2032
NAND n1345 n2244 n2031
AND n2032 n2031 N7471
NAND n2202 N130 n2037
NAND N514 N598 n2035
OR N514 N595 n2034
NAND n2035 n2034 n2302
NAND n2213 n2302 n2036
AND n2037 n2036 n2040
OR n2134 n2136 n2065
NAND n1345 n2239 n2039
AND n2040 n2039 N7466
NAND n2042 n2041 N7607
NAND n2202 N127 n2052
NAND N265 n2203 n2044
OR N265 N597 n2043
NAND n2044 n2043 n2045
NAND N400 n2045 n2050
NAND N265 N595 n2047
OR N265 n2207 n2046
AND n2047 n2046 n2048
OR N400 n2048 n2049
AND n2050 n2049 n2296
NAND n2213 n2296 n2051
AND n2052 n2051 n2054
OR n2247 n1346 n2053
AND n2054 n2053 N7472
NAND n2202 N119 n2064
NAND N341 n2203 n2056
OR N341 N597 n2055
NAND n2056 n2055 n2057
NAND N523 n2057 n2062
NAND N341 N595 n2059
OR N341 n2207 n2058
AND n2059 n2058 n2060
OR N523 n2060 n2061
AND n2062 n2061 n2307
NAND n2213 n2307 n2063
AND n2064 n2063 n2067
NAND n1345 n2235 n2066
AND n2067 n2066 N7467
NAND n2189 N158 n2069
NAND n2190 N188 n2068
AND n2069 n2068 n2084
NAND n2202 N129 n2079
NAND N351 n2203 n2071
OR N351 N597 n2070
NAND n2071 n2070 n2072
NAND N534 n2072 n2077
NAND N351 N595 n2074
OR N351 n2207 n2073
AND n2074 n2073 n2075
OR N534 n2075 n2076
AND n2077 n2076 n2304
NAND n2213 n2304 n2078
AND n2079 n2078 n2082
NAND n1345 n2080 n2081
AND n2082 n2081 N7363
OR N7363 n2199 n2083
AND n2084 n2083 n2100
NAND n2202 N126 n2094
NAND N273 n2203 n2086
OR N273 N597 n2085
NAND n2086 n2085 n2087
NAND N411 n2087 n2092
NAND N273 N595 n2089
OR N273 n2207 n2088
AND n2089 n2088 n2090
OR N411 n2090 n2091
AND n2092 n2091 n2295
NAND n2213 n2295 n2093
AND n2094 n2093 n2098
AND n1402 n2095 n2096
NAND n1345 n2246 n2097
AND n2098 n2097 N7473
OR N7473 n2218 n2099
NAND n2100 n2099 N7605
NAND n2189 N170 n2102
NAND n2190 N200 n2101
AND n2102 n2101 n2122
NAND n2202 N122 n2112
NAND N234 n2203 n2104
OR N234 N597 n2103
NAND n2104 n2103 n2105
NAND N435 n2105 n2110
NAND N234 N595 n2107
OR N234 n2207 n2106
AND n2107 n2106 n2108
OR N435 n2108 n2109
AND n2110 n2109 n2293
NAND n2213 n2293 n2111
AND n2112 n2111 n2120
NAND n2116 n2115 n2117
AND n1309 n2117 n2118
NAND n1345 n2243 n2119
AND n2120 n2119 N7470
OR N7470 n2218 n2121
AND n2122 n2121 n2145
NAND n2202 N52 n2132
NAND N324 n2203 n2124
OR N324 N597 n2123
NAND n2124 n2123 n2125
NAND N503 n2125 n2130
NAND N324 N595 n2127
OR N324 n2207 n2126
AND n2127 n2126 n2128
OR N503 n2128 n2129
AND n2130 n2129 n2308
NAND n2213 n2308 n2131
AND n2132 n2131 n2143
OR n2136 n2135 n2137
NAND n2138 n2137 n2139
AND n2140 n2139 n2141
NAND n1345 n2237 n2142
AND n2143 n2142 N7465
OR N7465 n2199 n2144
NAND n2145 n2144 N7604
NAND n2221 N146 n2147
NAND n2222 N149 n2146
AND n2147 n2146 n2148
OR N7466 n2225 n2149
NAND n2150 n2149 N7603
NAND n2221 N152 n2152
NAND n2222 N155 n2151
AND n2152 n2151 n2153
OR N7467 n2225 n2154
NAND n2155 n2154 N7602
NAND n2221 N158 n2157
NAND n2222 N188 n2156
AND n2157 n2156 n2159
OR N7363 n2225 n2158
AND n2159 n2158 n2161
OR N7473 n2228 n2160
NAND n2161 n2160 N7601
NAND n2251 N70 n2163
NAND n2252 N67 n2162
AND n2163 n2162 n2165
OR N7363 n2255 n2164
AND n2165 n2164 n2167
OR N7473 n2258 n2166
NAND n2167 n2166 N7522
NAND n2251 N17 n2169
NAND n2252 N73 n2168
AND n2169 n2168 n2170
OR N7467 n2255 n2171
NAND n2172 n2171 N7521
NAND n2261 N70 n2174
NAND n2262 N67 n2173
AND n2174 n2173 n2176
OR N7363 n2265 n2175
AND n2176 n2175 n2178
OR N7473 n2268 n2177
NAND n2178 n2177 N7518
NAND n2261 N17 n2180
NAND n2262 N73 n2179
AND n2180 n2179 n2181
OR N7467 n2265 n2182
NAND n2183 n2182 N7517
NAND n2261 N20 n2185
NAND n2262 N76 n2184
AND n2185 n2184 n2186
OR N7466 n2265 n2187
NAND n2188 n2187 N7516
NAND n2189 N185 n2192
NAND n2190 N182 n2191
AND n2192 n2191 n2201
NAND n2213 n2303 n2194
NAND n2202 N131 n2193
AND n2194 n2193 n2198
AND n2196 n2195 n2231
OR n2231 n1346 n2197
AND n2198 n2197 N7015
OR N7015 n2199 n2200
AND n2201 n2200 n2220
NAND n2202 N117 n2215
NAND N281 n2203 n2205
OR N281 N597 n2204
NAND n2205 n2204 n2206
NAND N374 n2206 n2212
NAND N281 N595 n2209
OR N281 n2207 n2208
AND n2209 n2208 n2210
OR N374 n2210 n2211
AND n2212 n2211 n2299
NAND n2213 n2299 n2214
AND n2215 n2214 n2217
NAND n1345 n2245 n2216
AND n2217 n2216 N7365
OR N7365 n2218 n2219
NAND n2220 n2219 N7511
NAND n2221 N185 n2224
NAND n2222 N182 n2223
AND n2224 n2223 n2227
OR N7015 n2225 n2226
AND n2227 n2226 n2230
OR N7365 n2228 n2229
NAND n2230 n2229 N7506
NAND n2233 n2232 n2234
OR n2235 n2234 n2236
NOR n2237 n2236 n2241
NOR n2239 n2238 n2240
AND n2241 n2240 n2242
AND N7432 n2242 N7504
NAND n2251 N61 n2254
NAND n2252 N11 n2253
AND n2254 n2253 n2257
OR N7015 n2255 n2256
AND n2257 n2256 n2260
OR N7365 n2258 n2259
NAND n2260 n2259 N7469
NAND n2261 N61 n2264
NAND n2262 N11 n2263
AND n2264 n2263 n2267
OR N7015 n2265 n2266
AND n2267 n2266 n2270
OR N7365 n2268 n2269
NAND n2270 n2269 N7449
AND n2286 n2271 n2273
NAND n2273 n2272 N6927
OR n2274 n2280 n2278
INV N446 n2275
OR n2276 n2275 n2277
AND n2278 n2277 n2282
OR n2280 n2279 n2284
NAND n2282 n2281 N6926
INV n2283 n2285
NOR n2285 n2284 N6648
NAND n2287 n2286 n2288
AND n2290 n2289 N6646
NAND N31 N27 N2623
INV N588 n2329
OR N80 n2329 n2310
OR N588 N82 n2309
AND n2310 n2309 n2311
OR n2311 N2623 n2312
AND N141 n2312 N4740
OR N23 n2329 n2314
OR N588 N79 n2313
AND n2314 n2313 n2315
OR n2315 N2623 n2316
AND N141 n2316 N4739
OR N81 n2329 n2318
OR N588 N26 n2317
AND n2318 n2317 n2319
OR n2319 N2623 n2320
AND N141 n2320 N4738
OR N25 n2329 n2322
OR N588 N24 n2321
AND n2322 n2321 n2323
OR n2323 N2623 n2324
AND N141 n2324 N4737
INV N83 n2325
OR N2623 n2325 N4279
NAND N588 N34 n2327
NAND N88 n2329 n2326
AND n2327 n2326 n2328
OR n2328 N2623 N4278
NAND N588 N87 n2331
NAND N86 n2329 n2330
AND n2331 n2330 n2332
OR n2332 N2623 N4272
INV N299 N3613
INV N140 n2333
OR N2623 n2333 N2590
INV N549 N2584
INV N27 n2334
OR N591 n2334 N2060
INV N592 n2335
AND N136 n2335 N2054
AND N373 N1 N1972
INV N559 N1155
INV N562 N1154
INV N552 N1153
INV N245 N1152
AND N141 N145 N1147
INV N358 N1145
INV N545 N1143
INV N366 N1139
INV N348 N1138
